episode: 0, score: 225, epsilon: 0.265721, Rewards: -274.0
episode: 1, score: 231, epsilon: 0.141215, Rewards: -268.0
episode: 2, score: 356, epsilon: 0.102946, Rewards: -143.0
episode: 3, score: 301, epsilon: 0.0675426, Rewards: -198.0
episode: 4, score: 328, epsilon: 0.0443147, Rewards: -171.0
episode: 5, score: 353, epsilon: 0.0323054, Rewards: -146.0
episode: 6, score: 284, epsilon: 0.019076, Rewards: -215.0
episode: 7, score: 283, epsilon: 0.0112642, Rewards: -216.0
episode: 8, score: 318, epsilon: 0.00739044, Rewards: -181.0
episode: 9, score: 340, epsilon: 0.00484887, Rewards: -159.0
episode: 10, score: 341, epsilon: 0.00318134, Rewards: -158.0
episode: 11, score: 321, epsilon: 0.00208728, Rewards: -178.0
episode: 12, score: 344, epsilon: 0.00136946, Rewards: -155.0
episode: 13, score: 302, epsilon: 0.001, Rewards: -197.0
episode: 14, score: 318, epsilon: 0.001, Rewards: -181.0
episode: 15, score: 220, epsilon: 0.001, Rewards: -279.0
episode: 16, score: 247, epsilon: 0.001, Rewards: -252.0
episode: 17, score: 318, epsilon: 0.001, Rewards: -181.0
episode: 18, score: 208, epsilon: 0.001, Rewards: -291.0
episode: 19, score: 198, epsilon: 0.001, Rewards: -301.0
episode: 20, score: 192, epsilon: 0.001, Rewards: -307.0
